[file-live] launching playwright-chromium…
[file-live] PlanB http://127.0.0.1:8100/ <- http://127.0.0.1:8095/
[file-live] PlanA file: C:\Users\Administrator.user-HP\AndroidStudioProjects\amana\glass-preview-bridge\live\market.html
[file-live] PlanB http://127.0.0.1:8101/ <- http://127.0.0.1:7400/
[file-live] PlanA file: C:\Users\Administrator.user-HP\AndroidStudioProjects\amana\glass-preview-bridge\live\admin.html
[file-live] playwright-chromium OK
[file-live] market #1 5544b -> market.png (booting canvas=false boot=true)
[file-live] admin #1 6982b -> admin.png (booting canvas=false boot=true)
[file-live] OPEN Plan A (preferred):
  file:///C:/Users/Administrator.user-HP/AndroidStudioProjects/amana/glass-preview-bridge/live/market.html
  file:///C:/Users/Administrator.user-HP/AndroidStudioProjects/amana/glass-preview-bridge/live/admin.html
[file-live] OPEN Plan B fallback: http://127.0.0.1:8100/  http://127.0.0.1:8101/
[file-live] market #10 117027b -> market.png (flutter-first-frame)
[file-live] admin #10 45044b -> admin.png (flutter-first-frame)
[file-live] market #20 117027b -> market.png (flutter-first-frame)
[file-live] admin #20 45044b -> admin.png (flutter-first-frame)
[file-live] market #30 117027b -> market.png (flutter-first-frame)
[file-live] admin #30 45044b -> admin.png (flutter-first-frame)
[file-live] market #40 117027b -> market.png (flutter-first-frame)
[file-live] admin #40 45044b -> admin.png (flutter-first-frame)
[file-live] market #50 117027b -> market.png (flutter-first-frame)
[file-live] admin #50 45044b -> admin.png (flutter-first-frame)
[file-live] market #60 117027b -> market.png (flutter-first-frame)
[file-live] admin #60 45044b -> admin.png (flutter-first-frame)
[file-live] market #70 117027b -> market.png (flutter-first-frame)
[file-live] admin #70 45044b -> admin.png (flutter-first-frame)
[file-live] market #80 117027b -> market.png (flutter-first-frame)
[file-live] admin #80 45044b -> admin.png (flutter-first-frame)
[file-live] market #90 117027b -> market.png (flutter-first-frame)
[file-live] admin #90 45044b -> admin.png (flutter-first-frame)
[file-live] market #100 117027b -> market.png (flutter-first-frame)
[file-live] admin #100 45044b -> admin.png (flutter-first-frame)
[file-live] market #110 117027b -> market.png (flutter-first-frame)
[file-live] admin #110 45044b -> admin.png (flutter-first-frame)
[file-live] market #120 117027b -> market.png (flutter-first-frame)
[file-live] admin #120 45044b -> admin.png (flutter-first-frame)
[file-live] market #130 117027b -> market.png (flutter-first-frame)
[file-live] admin #130 45044b -> admin.png (flutter-first-frame)
[file-live] market #140 117027b -> market.png (flutter-first-frame)
[file-live] admin #140 45044b -> admin.png (flutter-first-frame)
[file-live] market #150 117027b -> market.png (flutter-first-frame)
[file-live] admin #150 45044b -> admin.png (flutter-first-frame)
[file-live] market #160 117027b -> market.png (flutter-first-frame)
[file-live] admin #160 45044b -> admin.png (flutter-first-frame)
[file-live] market #170 117027b -> market.png (flutter-first-frame)
[file-live] admin #170 45044b -> admin.png (flutter-first-frame)
[file-live] market #180 117027b -> market.png (flutter-first-frame)
[file-live] admin #180 45044b -> admin.png (flutter-first-frame)
[file-live] market #190 117027b -> market.png (flutter-first-frame)
[file-live] admin #190 45044b -> admin.png (flutter-first-frame)
[file-live] market #200 117027b -> market.png (flutter-first-frame)
[file-live] admin #200 45044b -> admin.png (flutter-first-frame)
[file-live] market #210 117027b -> market.png (flutter-first-frame)
[file-live] admin #210 45044b -> admin.png (flutter-first-frame)
[file-live] market #220 117027b -> market.png (flutter-first-frame)
[file-live] admin #220 45044b -> admin.png (flutter-first-frame)
[file-live] market #230 117027b -> market.png (flutter-first-frame)
[file-live] admin #230 45044b -> admin.png (flutter-first-frame)
[file-live] market #240 117027b -> market.png (flutter-first-frame)
[file-live] admin #240 45044b -> admin.png (flutter-first-frame)
[file-live] market #250 117027b -> market.png (flutter-first-frame)
[file-live] admin #250 45044b -> admin.png (flutter-first-frame)
[file-live] market #260 117027b -> market.png (flutter-first-frame)
[file-live] admin #260 45044b -> admin.png (flutter-first-frame)
[file-live] market #270 117027b -> market.png (flutter-first-frame)
[file-live] admin #270 45044b -> admin.png (flutter-first-frame)
[file-live] market #280 117027b -> market.png (flutter-first-frame)
[file-live] admin #280 45044b -> admin.png (flutter-first-frame)
[file-live] market #290 117027b -> market.png (flutter-first-frame)
[file-live] admin #290 45044b -> admin.png (flutter-first-frame)
[file-live] market #300 117027b -> market.png (flutter-first-frame)
[file-live] admin #300 45044b -> admin.png (flutter-first-frame)
[file-live] market #310 117027b -> market.png (flutter-first-frame)
[file-live] admin #310 45044b -> admin.png (flutter-first-frame)
[file-live] market #320 117027b -> market.png (flutter-first-frame)
[file-live] admin #320 45044b -> admin.png (flutter-first-frame)
[file-live] market #330 117027b -> market.png (flutter-first-frame)
[file-live] admin #330 45044b -> admin.png (flutter-first-frame)
[file-live] market #340 117027b -> market.png (flutter-first-frame)
[file-live] admin #340 45044b -> admin.png (flutter-first-frame)
[file-live] market #350 117027b -> market.png (flutter-first-frame)
[file-live] admin #350 45044b -> admin.png (flutter-first-frame)
[file-live] market #360 117027b -> market.png (flutter-first-frame)
[file-live] admin #360 45044b -> admin.png (flutter-first-frame)
[file-live] market #370 117027b -> market.png (flutter-first-frame)
[file-live] admin #370 45044b -> admin.png (flutter-first-frame)
[file-live] market #380 117027b -> market.png (flutter-first-frame)
[file-live] admin #380 45044b -> admin.png (flutter-first-frame)
[file-live] market #390 117027b -> market.png (flutter-first-frame)
[file-live] admin #390 45044b -> admin.png (flutter-first-frame)
[file-live] market #400 117027b -> market.png (flutter-first-frame)
[file-live] admin #400 45044b -> admin.png (flutter-first-frame)
[file-live] market #410 117027b -> market.png (flutter-first-frame)
[file-live] admin #410 45044b -> admin.png (flutter-first-frame)
[file-live] market #420 117027b -> market.png (flutter-first-frame)
[file-live] admin #420 45044b -> admin.png (flutter-first-frame)
[file-live] market #430 117027b -> market.png (flutter-first-frame)
[file-live] admin #430 45044b -> admin.png (flutter-first-frame)
[file-live] market #440 117027b -> market.png (flutter-first-frame)
[file-live] admin #440 45044b -> admin.png (flutter-first-frame)
[file-live] market #450 117027b -> market.png (flutter-first-frame)
[file-live] admin #450 45044b -> admin.png (flutter-first-frame)
[file-live] market #460 117027b -> market.png (flutter-first-frame)
[file-live] admin #460 45044b -> admin.png (flutter-first-frame)
[file-live] market #470 117027b -> market.png (flutter-first-frame)
[file-live] admin #470 45044b -> admin.png (flutter-first-frame)
[file-live] market #480 117027b -> market.png (flutter-first-frame)
[file-live] admin #480 45044b -> admin.png (flutter-first-frame)
[file-live] market #490 117027b -> market.png (flutter-first-frame)
[file-live] admin #490 45044b -> admin.png (flutter-first-frame)
[file-live] market #500 117027b -> market.png (flutter-first-frame)
[file-live] admin #500 45044b -> admin.png (flutter-first-frame)
